document_name,call_time,union_name,actor_name,role_type,role,rate,phone,confidence,email,notes,rate_amount,rate_unit,rate_modifiers,cancelled,confidence_tier,confidence_breakdown,source,extraction_method
RECREATED Skins 1.pdf,,,Rob Odelmo,,BREMEN WAITSTAFF Cruise Ship Deck,$262/8,222-999-3333,0.727,rob.odelmo+60@everyset.com,,262.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.0, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y435,deterministic
RECREATED Skins 1.pdf,,,Ruffa Ortega,background,BREMEN GUESTS,$144/8,333-233-9999,0.79,iruffa.ortega+60@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y468,deterministic
RECREATED Skins 1.pdf,,,Janice Torno,background,BREMEN GUESTS,$144/8,222-999-3333,0.79,rob.odelmo+60@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y477,deterministic
RECREATED Skins 1.pdf,,,Miel Eugenio,background,BREMEN GUESTS,$144/8,555-666-8888,0.79,miel.eugenio+60@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y485,deterministic
RECREATED Skins 1.pdf,,,Lloyd Paz,background,BREMEN GUESTS,$144/8,444-555-9999,0.79,lloyd.paz+60@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y493,deterministic
RECREATED Skins 1.pdf,,,Ray Ramos,background,BREMEN GUESTS,$224/8,777-555-4444,0.79,ray.ramos+60@everyset.com,,224.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y501,deterministic
RECREATED Skins 1.pdf,,,Andre Babao,background,BREMEN GUESTS,$144/8,666-111-4444,0.79,andre.babao+60@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y510,deterministic
RECREATED Skins 1.pdf,,,Miller Mendoza,background,BREMEN GUESTS,$144/8,555-444-5566,0.79,miller.mendoza+60@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y518,deterministic
RECREATED Skins 1.pdf,,,Web Aquiono,background,BREMEN GUESTS,$144/8,777-666-8899,0.79,webster.aquino+60@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y526,deterministic
RECREATED Skins 1.pdf,,,Rose Sevila,background,BREMEN GUESTS,$144/8,999-888-7766,0.79,rose.sevila+60@everyset.com,,144.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y534,deterministic
RECREATED Skins 2.pdf,8:00AM,,Ralph Francisco,stand-in,STAND INS,VOUCHER + $80/hr (min of 4 hrs),223-333-4455,0.79,,,80.0,hourly,"{""voucher"": true, ""bump"": 80.0}",False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 2.pdf,8:00AM,,Rob Odelmo,stand-in,STAND INS,,566-477-8888,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 2.pdf,8:00AM,,Jezze Ignacio,stand-in,STAND INS,,998-666-7868,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 2.pdf,8:00AM,,Jeremiah Tapang,stand-in,STAND INS,,777-766-3666,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 2.pdf,10:30AM,,Janice Torno,stand-in,STAND IN,,516-468-0404,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 2.pdf,8:45AM,,Miller Mendoza,background,MEDICAL EMPLOYEES,,999-444-3333,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y260,deterministic
RECREATED Skins 2.pdf,8:45AM,,Jasper Banzuela,background,MEDICAL EMPLOYEES,,646-466-3666,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y271,deterministic
RECREATED Skins 2.pdf,8:45AM,,Drei Babao,background,ND PEDS,,555-444-6677,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y303,deterministic
RECREATED Skins 2.pdf,8:45AM,,Gregor Francisco,background,ND PEDS,,999-777-5555,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y313,deterministic
RECREATED Skins 2.pdf,8:45AM,,Web Aquino,background,ND PEDS,,777-555-4444,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y324,deterministic
RECREATED Skins 2.pdf,8:45AM,,Rose Sevila,background,ND PEDS,,333-445-7777,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y334,deterministic
RECREATED Skins 2.pdf,8:45AM,,Miel Eugenio,background,ND PEDS,,555-445-8855,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y345,deterministic
RECREATED Skins 2.pdf,8:45AM,,Stephen Yeh,background,ND PEDS,,333-444-8811,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y355,deterministic
RECREATED Skins 2.pdf,8:45AM,,Jezzie Ignacio,background,ND PEDS,,222-111-4488,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y366,deterministic
RECREATED Skins 2.pdf,8:45AM,,Marz Valdez,background,ND PEDS,,999-667-8888,0.295,,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.0, ""notes"": 0.0}",p1:y376,deterministic
RECREATED Skins 4.pdf,7:12 AM,union,Ralph Francisco,stand-in,STAND INS,$262/8,112-223-4455,0.853,,,262.0,day_8h,{},False,high,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.95, ""notes"": 0.0}",p1:y306,deterministic
RECREATED Skins 4.pdf,7:12 AM,union,Rob Odelmo,stand-in,STAND INS,$262/8,122-233-4555,0.853,,,262.0,day_8h,{},False,high,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.95, ""notes"": 0.0}",p1:y322,deterministic
RECREATED Skins 4.pdf,7:12 AM,union,Janice Torno,stand-in,STAND INS,$262/8,222-333-5555,0.853,,,262.0,day_8h,{},False,high,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.95, ""notes"": 0.0}",p1:y339,deterministic
RECREATED Skins 4.pdf,11:30 AM,union,Ruffa Ortega,stand-in,STAND INS,$262/8,223-334-5556,0.853,,,262.0,day_8h,{},False,high,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.95, ""notes"": 0.0}",p1:y408,deterministic
RECREATED Skins 4.pdf,7:00 AM,union,Miller Mendoza,,BURGLAR #2,$224/8,233-344-5666,0.79,,,224.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.0, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.95, ""union_name"": 0.95, ""notes"": 0.0}",p1:y473,deterministic
RECREATED Skins 4.pdf,,union,Jasper Banzales,,PRECISION DRIVER,$500/8,333-444-5556,0.727,,,500.0,day_8h,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.0, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",p1:y540,deterministic
RECREATED Skins 4.pdf,,union,Drei Babao,,PRECISION DRIVER,$250,334-455-5666,0.727,,,250.0,flat,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.0, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",p1:y557,deterministic
RECREATED Skins 4.pdf,,union,Miel Eugenio,background,PARKED CARS,$224/8 + 250,818-391-2166,0.79,,,224.0,day_8h,"{""bump"": 250.0}",False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",p1:y625,deterministic
RECREATED Skins 4.pdf,,union,Janice Torno,background,PARKED CARS,$224/8 + 250,818-512-6987,0.79,,,224.0,day_8h,"{""bump"": 250.0}",False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",p1:y642,deterministic
RECREATED Skins 4.pdf,,union,Lloyd Paz,background,PARKED CARS,$224/8 + 250,323-646-0977,0.79,,,224.0,day_8h,"{""bump"": 250.0}",False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",p1:y658,deterministic
RECREATED Skins 4.pdf,,union,Ray Ramos,background,PARKED CARS,$224/8 + 250,818-269-2608,0.79,,,224.0,day_8h,"{""bump"": 250.0}",False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",p1:y675,deterministic
RECREATED Skins 4.pdf,,union,Web Aquino,background,PARKED CARS,$224/8 + 250,562-587-7834,0.79,,,224.0,day_8h,"{""bump"": 250.0}",False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",p1:y691,deterministic
RECREATED Skins 4.pdf,,union,Rose Sevila,background,PARKED CARS,$224/8 + 250,323-617-0374,0.79,,,224.0,day_8h,"{""bump"": 250.0}",False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.0, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",p1:y708,deterministic
RECREATED Skins 5.pdf,,,Ralph Francisco,stand-in,Stand Ins,,818-208-5757,0.295,ralph.francisco+1@everyset.com,Stand In,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 5.pdf,,union,Rob Odelmo,photo double,Photo Doubles,,818-208-5757,0.327,rob.odelmo+1@everyset.com,Taft Hartley (TH),,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 5.pdf,,union,Ruffa Ortega,photo double,Photo Doubles,$150,818-208-5757,0.853,ruffa.ortega+1@everyset.com,$150 adjustment for lines,150.0,flat,{},False,high,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
RECREATED Skins 3.csv,,,Ralph Francisco,stand-in,STAND INS,,123-456-7890,0.295,ralph.francisco+10@everyset.com,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y6,deterministic
RECREATED Skins 3.csv,,,Rob Odelmo,stand-in,STAND INS,,112-344-5678,0.295,rob.odelmo+10@everyset.com,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y7,deterministic
RECREATED Skins 3.csv,,,Ruffa Ortega,stand-in,STAND INS,,122-334-5566,0.295,ruffa.ortega+10@everyset.com,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y8,deterministic
RECREATED Skins 3.csv,,,Janice Torno,background,BACKGROUND,,223-334-7788,0.295,janice.torno+10@everyset.com,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y12,deterministic
RECREATED Skins 3.csv,,,Lloyd Paz,background,BACKGROUND,,333-456-8899,0.295,lloyd.paz+10@everyset.com,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y13,deterministic
RECREATED Skins 3.csv,,,Web Aquino,background,BACKGROUND,,444-666-7766,0.295,web.aquino+10@everyset.com,,,,{},False,low,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 0.0, ""role_type"": 0.95, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.0, ""notes"": 0.0}",p1:y14,deterministic
RECREATED Skins 3.csv,,non-union,Rose Sevilla,,FITTING,$125,555-778-5544,0.79,rose.sevila+10@everyset.com,Taft Hartley,125.0,flat,{},False,medium,"{""actor_name"": 1.0, ""role"": 1.0, ""rate_amount"": 1.0, ""role_type"": 0.0, ""phone"": 0.95, ""email"": 0.95, ""call_time"": 0.0, ""union_name"": 0.95, ""notes"": 0.0}",llm-row-fallback,llm-row-fallback
